id,link,name,description,category,subcategory,brand,price,number_of_sales,ratings,image_link
amazon_sp_0,https://www.amazon.com/-/ar/dp/B0007ZF4OA/ref=sr_1_1?qid=1701547169&s=sporting-goods&sr=1-1,مدفئات اليد من هوت هاندز مدفئات طبيعية امنة تدوم طويلا بدون رائحة تعمل بالهواء حتى 10 ساعات من الحرارة 40 زوجًا, تدفئة آمنة وطبيعية وتدوم طويلاً بدون رائحة، للاستعمال مرة واحدة، لا تضعها مباشرةً على الجلد معتمدة من إدارة أمن المواصلات الأمريكية صُنعت في الولايات المتحدة الأمريكية باستخدام مواد محلية ومستوردة لا حاجة للهز أو الضغط للتنشيط أزل الغلاف الخارجي عن المُدفئ ثم هزه لكي تنشطه ترتفع حرارة المُدفئ في مدة تتراوح بين 15 و30 دقيقة في حال انخفاض الحرارة، عرّض المُدفئ للهواء وهِزُّه بعد الاستخدام، تخلص منه بإلقائه مع النفايات العادية إذ إن مكوناته لا تضر البيئة مُدفئات متعددة الاستخدامات عبوات حرارة تعمل بالهواء تستخدم مرة واحدة تمنحك الدفء يوميًا وهي الخيار المثالي لإبقاء الجسم دافئًا عند انخفاض درجات الحرارة متوفرة بأشكال عديدة مصممة لتلائم اليدين والقدمين والجسم متى تُستخدَم في المناسبات والمناسبات الرياضية الخارجية، ورحلات الصيد البري وصيد الأسماك، وكذلك في التخييم والتنزه في الطبيعة، والعمل في ساحة المنزل، أو أثناء الجري أو أثناء اصطحاب حيوانك الأليف في جولة مريحة، ومضغوطة، وسهلة الحمل,الرياضة والأنشطة الخارجية,الرياضة والأنشطة الخارجية,40 Pair,27.0,60000,4.8,https://m.media-amazon.com/images/I/81+D8FkHLXL._AC_SX569_.jpg
amazon_sp_1,https://www.amazon.com/-/ar/dp/B00006IDL6/ref=sr_1_2?qid=1701547169&s=sporting-goods&sr=1-2,ضمادات قماشية مرنة معقمة من العلامة التجارية باند ايد، حماية مرنة ومريحة والعناية بالجروح من أجل الشقوق والخدوش الصغيرة، بطانة مصممة لتبطين الجروح المؤلمة، مقاس واحد، 100 قطعة, نسيج يحتفظ بالشكل 100 قطعة من الضمادات اللاصقة القماشية المرنة المعقمة للإسعافات الأولية والعناية بالجروح للحماية من الجروح والشقوق والخدوش والحروق الطفيفة الضمادات اللاصقة تمثل إضافة رائعة لمستلزمات العناية بالجروح ومجموعات الإسعافات الأولية مصنوعة من نسيج يحتفظ بشكله من أجل الراحة والمرونة، ضمادات الإسعافات الأولية هذه تتمدد وتنحني وتنثني مع بشرتك أثناء تحركها، وتشمل بطانة كويلت ايد المريحة للمساعدة على تسكين وحماية الجروح المؤلمة التي قد تساعد على منع الإصابة مرة ثانية تبقى هذه الضمادات اللاصقة المرنة من القماش من باند إيد لمدة تصل إلى 24 ساعة وتتميز ببطانة فريدة من نوعها لا تلتصق بالجروح في حين أنها تطرد الدم والسوائل، مما يسمح بإزالتها بلطف وبدون ألم من العلامة التجارية رقم 1 للضمادات التي يوصي بها الأطباء، تساعد ضمادات النسيج المعقمة من العلامة التجارية باند إيد على الحماية من الأوساخ والجراثيم التي قد تسبب العدوى لمدة تصل إلى 24 ساعة بالإضافة إلى ذلك، فإن الجروح المغطاة بضمادات تُشفى أسرع من الجروح غير المغطاة إضافة رائعة لمجموعة الإسعافات الأولية، ضع ضمادات قماشية مرنة على بشرة نظيفة وجافة للعناية بالجروح البسيطة وقم بتغييرها يومياً عندما تكون مبللة أو حسب الحاجة للعناية الصحيحة بالجروح، عالجها بمرهم مضاد حيوي للجروح مثل نيوسبورين قبل الاستخدام,الرياضة والأنشطة الخارجية,الرياضة والأنشطة الخارجية,Band-Aid,8.0,50000,4.8,https://m.media-amazon.com/images/I/91nHT-VLyPL._AC_SX569_.jpg
amazon_sp_2,https://www.amazon.com/-/ar/dp/B07QGRWZNB/ref=sr_1_3?qid=1701547169&s=sporting-goods&sr=1-3,GearLight 2Pack LED Headlamp Outdoor Camping Headlamps with Adjustable Headband Lightweight Headlight with 7 Modes and Pivotable Head Stocking Stuffer Gifts for Men,خبرة فائقة الخبرة الفائقة مصابيح التخييم في التخييم التي تولد شعاعًا طويلًا رائعًا مع لون ضوء النهار ، يضم وقت تشغيل يصل إلى 10 ساعات في الإعداد المنخفض ، مما يجعلها مثالية من الراحة القابلة للتعديل في العمل.مناسبة مريحة لكل من البالغين والأطفال الذين يزنون 3 أوقية فقط مع البطاريات ، إنه المصباح الأمامي المثالي للمغامرين في الهواء الطلق تصميمات متعددة الاستخدامات ، تتميز مصابيح الأمامية المتميزة لدينا برأس قابل للتعديل 45 درجة لتوجيه الضوء على وجه التحديد حيث يمكنك الاختيار من بين 7 أوضاع إضاءة مختلفة تتراوح من أبيض إلى أبيض إلى أبيض إلى أبيضشعاع أحمر من أجل أمان الطقس مقاوم مع مقاومة الماء وقدرات مقاومة للصدمات ، مصباح يدوي المصابيح الأمامية S500 مناسب للاستخدام في المطر أو الثلوج في الداخل أو في الهواء الطلق وهدية يوم الآباء المثالي لأبي إضافة إلى Musthave إلى قائمة المشي لمسافات طويلة وملحقات التخييم في كل طلب.يتضمن 2 S500 Leghlight المصابيح الأمامية AAA غير مدرجة لا تتضمن واحدة في سيارتك وآخر في المنزل للراحة مما يجعل هذا الهدايا الفكرة للرجال,الرياضة والأنشطة الخارجية,الرياضة والأنشطة الخارجية, ,19.0,0,4.6,https://m.media-amazon.com/images/I/81lFLOANwYL._AC_SX522_.jpg
amazon_sp_3,https://www.amazon.com/-/ar/dp/B0CC62ZG1M/ref=sr_1_4?qid=1701547169&s=sporting-goods&sr=1-4,فيتبيت جهاز تتبع اللياقة البدنية تشارج 6 مع تطبيقات جوجل، معدل ضربات القلب على معدات التمارين الرياضية، عضوية ممتازة لمدة 6 اشهر، نظام تحديد المواقع، ادوات صحية واكثر من ذلك، زجاج بركانياسود، مقاس واحد تتضمن اساور S وL, تحرك أكثر معدل ضربات القلب على المعدات عبر البلوتوث، أكثر من 40 وضع تمرين، نظام تحديد المواقع المدمج، دقائق المنطقة النشطة، نقاط الاستعداد اليومي، معدل ضربات القلب 247، تتبع النشاط طوال اليوم، مستوى لياقة القلب، تتبع التمارين التلقائي، خريطة كثافة التمرين وتذكيرات بالتحرك اتصال مريح عناصر تحكم في موسيقى اليوتيوب، خرائط جوجل، محفظة جوجل، المكالمات، الرسائل النصية وإشعارات تطبيق الهاتف الذكي، شاشة لمس ملونة نابضة بالحياة مع وجوه ساعة قابلة للتخصيص، ومؤقت وساعة إيقاف الصحة معدل ضربات القلب الأكثر دقة لدينا حتى الآن، تخطيط القلب وإشعارات إيقاع القلب غير المنتظمة، ومراقبة تشبع الأكسجين SpO2، ومعدل ضربات القلب أثناء الراحة وإشعارات معدل ضربات القلب المرتفعالمنخفض بطارية تدوم 7 أيام ومقاومة للماء حتى 50 متر درجة إدارة الإجهاد، نقاط النوم الليلي، جلسة اليقظة على المعصم، منبه ذكي للاستيقاظ، أوضاع النوم وعدم الإزعاج تتضمن عضوية بريميوم لمدة 6 أشهر للحصول على رؤى وتوجيهات أعمق وتمارين حصرية وجلسات اليقظة وأكثر من ذلك متضمن في الصندوق فيتبيت Charge 6 Tracker تتضمن أحزمة صغيرة وكبيرة يبلغ مقاس أساور المعصم الصغيرة 140 ملم 180 ملم مع مقاس كبير إضافي 180 ملم 220 ملم يتضمن الشاحن أيضًا متوافق مع فيتبيت Charge 5، غير متوافق مع الموديلات الأخرى متوافق مع اي او اس 15 أو أعلى ونظام تشغيل اندرويد 90 أو أعلى,الرياضة والأنشطة الخارجية,الرياضة والأنشطة الخارجية, ,159.0,0,3.7,https://m.media-amazon.com/images/I/61ZtqtvoD2L._AC_SX679_.jpg
amazon_sp_4,https://www.amazon.com/-/ar/dp/B00WTDXSDM/ref=sr_1_5?qid=1701547169&s=sporting-goods&sr=1-5,فلاي بار عصا بوجو فوم للاطفال من ماي فيرست بتصميم مرح وامن للاطفال الصغار, بوينغ، بوينغ، سكويك عصا ماي فيرست فلايبار بوجو الإسفنجية تمنحك ساعات من المرح الصحي ومتعة القفز المتكرر هذه عصا البوجو الأولى المثالية للأطفال؛ مصنوعة من الإسفنج المتين، كل قفزة تصدر صوت صرير مرح للاستخدام في أي مكان لقد صممنا نطاط الأطفال للاستخدام في الأماكن المغلقة أو الهواء الطلق، وعلى عكس ألعاب القفز الرديئة، فإن نطاط بوجو للأطفال مصنوع ليدوم طويلاً لعبة رائعة للأولاد أو البنات لأعمار من 3 سنوات فما فوق تدريب على التوازن تُساعد عصا بوجو الأطفال على ممارسة ألعاب نشيطة رائعة وتساعد على تدريب التنسيق بين العين واليد والتوازن والمهارات الحركية الكبرى؛ امنح طفلك انطلاقة حيوية مع عصا بوجو للأطفال الصغار صحية اجعل طفلك ينهض عن الأريكة مع لعبة القفز التي تشجع على اللياقة البدنية، النطاط المطاطي هو عصا من الإسفنج تعزز النشاط الصحي مع الاستمتاع بمتعة القفز المتكرر المذهلة وعد الشركة المصنعة ,الرياضة والأنشطة الخارجية,الرياضة والأنشطة الخارجية, ,12.0,20000,4.3,https://m.media-amazon.com/images/I/51wjux6nU2L._AC_SX569_.jpg
amazon_sp_5,https://www.amazon.com/-/ar/dp/B0012SNLJG/ref=sr_1_6?qid=1701547169&s=sporting-goods&sr=1-6,WILSON NFL Super Grip Composite Football, جلد مركب Imported كرة القدم هي لعبة الإرادة استغل اللعبة مع NFL SuperGrip مصنوعة من مواد مركبة عالية الأداء، تقدم هذه كرة القدم مزيجًا مثاليًا من المتانة حجم كرة القدم الرسمية تحمل العلامة التجارية ان اف اي غطاء مركب ذو قبضة فائقة لإحساس ممتاز وسادة مطاطية بوتيل للاحتفاظ بالهواء المتقدم يمكن إعادة تقصيرها للاعبين 14 فما فوق,الرياضة والأنشطة الخارجية,الرياضة والأنشطة الخارجية,WILSON,19.0,20000,4.8,https://m.media-amazon.com/images/I/91MvyMn3UpL._AC_SX569_.jpg
amazon_sp_6,https://www.amazon.com/-/ar/dp/B0B5F9SZW7/ref=sr_1_7?qid=1701547169&s=sporting-goods&sr=1-7,فيتبيت جهاز تتبع الصحة واللياقة البدنية من انسباير 3 مع التحكم في التوتر، وكثافة التمرين، وتتبع النوم، ومعدل ضربات القلب 247 واكثر من ذلك، ميدنايت زيناسود، مقاس واحد يتضمن سوار S وL, إنسباير 3 هو جهاز التتبع الذي يساعدك على العثور على طاقتك والقيام بما تحب والشعور بأفضل ما لديك كل ما عليك فعله هو ارتدائه درجة حرارة التشغيل من 0 إلى 40 درجة مئوية تحرك أكثر نقاط الاستعداد اليومية 1، دقائق المنطقة النشطة، تتبع النشاط طوال اليوم ومعدل ضربات القلب على مدار الساعة طوال أيام الأسبوع، وأكثر من 20 وضع للتمرين، وتتبع تلقائي للتمرين وتذكير بالحركة إجهاد أقل تتبع العافية دائمًا، نقاط إدارة الإجهاد اليومية، جلسات اليقظة، جلسات التنفس المريحة، إشعارات عدم انتظام ضربات القلب 2، تشبع الأكسجين 3، تتبع صحة الدورة الشهرية، معدل ضربات القلب أثناء الراحة وإشعارات معدل ضربات القلب المرتفعالمنخفض نوم أفضل تتبع النوم التلقائي، ملف نوم مخصص 1، نقاط نوم مفصلة يوميًا، منبه اهتزاز ذكي للاستيقاظ، وضع السكون اتصال مريح ليلاً ونهارًا المكالمات والرسائل النصية وإشعارات تطبيقات الهاتف الذكي 4، شاشة لمس ملونة مع وجوه ساعة قابلة للتخصيص، خفيفة الوزن للغاية ومقاومة للماء حتى 50 مترًا، وعمر بطارية يصل إلى 10 أيام 5 تتضمن عضوية بريميوم لمدة 6 أشهر كاملة مع رؤى شخصية وتحليلات متقدمة والمزيد مستخدمو Premium الجدد والعائدون فقط يجب تنشيط التجربة في غضون 60 يومًا من تفعيل الجهاز قد يتغير المحتوى والميزات,الرياضة والأنشطة الخارجية,الرياضة والأنشطة الخارجية, ,98.0,0,4.4,https://m.media-amazon.com/images/I/61gFrSlmofL._AC_SX679_.jpg
amazon_sp_7,https://www.amazon.com/-/ar/dp/B0B1YLQD9C/ref=sr_1_8?qid=1701547169&s=sporting-goods&sr=1-8,TOSY Flying Disc 16 Million Color RGB or 36 or 360 LEDs Extremely Bright Smart Modes Auto Light Up Rechargeable Cool Fun Christmas Birthday Camping Gift for MenBoysTeensKids 175g frisbee,36 مصباح LED فائق السطوع باعتباره الاختراع الأصلي الذي ينتظر الحصول على براءة اختراع، فإن قرص توسي الخاص بنا أكثر سطوعًا بمقدار 100 مرة من أي قرص طيران مضيء تبدو رائعة للغاية، خاصة عند رميها في الهواء الطلق ليلاً أوضاع ذكية ومستشعرات حركة يمكنك بسهولة اختيار مستوى السطوع ووضع المؤقت الذي تريده يعمل مصباح LED ويتوقف تلقائيًا لتوفير البطارية قابلة لإعادة الشحن شحن لمدة 30 دقيقة يدوم حتى ألف رمية في أوضاع B1 T0 أو تطابق كامل لمدة 90 دقيقة تتضمن العبوة 1 كيبل USB نوع C إلى C الشاحن غير متضمن 175 غرام يلبي القرص الخاص بنا المعايير الاحترافية القصوى للرحلات الطويلة والمستقيمة والدقيقة وقبضة مريحة للغاية إنها رائعة للحيل الحرة أيضًا قرص تغيير الألعاب قم بتزيين قائمة أفكار الهدايا الخاصة بك وزجاجة القرص المفضلة وألعاب بيرسبي أو حدوة الحصان البولندية أو غيرها مع أقراصنا المتينة للغاية والمقاومة للماء والممتازة,الرياضة والأنشطة الخارجية,الرياضة والأنشطة الخارجية, ,34.0,20000,4.5,https://m.media-amazon.com/images/I/81GBSS3WC0L._AC_SX569_.jpg
amazon_sp_8,https://www.amazon.com/-/ar/dp/B072M25LW9/ref=sr_1_9?qid=1701547169&s=sporting-goods&sr=1-9,هوتهاندس عبوة اقتصادية لتدفئة اليدين,لا تنطبق عنصر واحد منفرد غير متاح على مستوى الرائحة الطويلة التي لا يمكن التخلص منها مباشرة على الجلد على TSA لا تهتز أو العجن المطلوبة لتفعيل إزالة أكثر دفئًا من الهز المرفق لتنشيط ارتفاع درجات الحرارة في 1530 دقيقة إذا انخفضت الحرارة إلى درجة حرارة للهواء والهز بعد الاستخدام.تدفئة القمامة المتعددة الأغراض العادية تستخدم حزم حرارة مفعمة بالحيوية التي توفر الدفء اليومي وهي مثالية للحفاظ على جسمك دافئًا عندما تصبح درجة الحرارة باردة متوفرة في عدة أنماط مصممة لليديك وجسمك عند استخدام الأفعال في الأحداث الرياضية في الهواء الطلق.المشي في العمل في الفناء الركض أو أخذ حيوانك الأليف في نزهة مريحة مريحة مضغوطة,الرياضة والأنشطة الخارجية,الرياضة والأنشطة الخارجية,20 pair,14.0,10000,4.8,https://m.media-amazon.com/images/I/91tmt869VKL._AC_SX569_.jpg
amazon_sp_9,https://www.amazon.com/-/ar/dp/B07HJSHT8P/ref=sr_1_11?qid=1701547169&s=sporting-goods&sr=1-11,مجموعة تي شيرت بيسبول للاطفال من فرانكلين سبورتس جرو ويذ مي حامل للشباب والاطفال الصغار مجموعة تي شيرت بيسبول للشباب والكرة اللينة تي شيرت ضرب التيبول للاولاد والبنات,ملائمة لعدة مراحل عمرية صُممت عصا ضرب كرة البيسبول هذه خصوصًا لتكون قابلة لتعديل الحجم وتساعد لاعبي كرة البيسبول المبسطة الصغار في التمرين على ضرب الكرة والاستمرار في التقدم وضع عصا كرة البيسبول المبسطة المعلقة بالنسبة إلى اللاعبين الأصغر سنًا، يعمل تصميم كرة البيسبول المبسطة المعلقة على تعليق الكرة على بعد يتراوح بين 18 و26 بوصة عن الأرض باستخدام أحزمة ذاتية الالتصاق حتى يتمكن الضاربون الصغار من التدريب على تناسق حركة اليد مع الرؤية وضع عصا كرة البيسبول المبسطة التقليدية بمجرد أن يصبح اللاعبون أكبر سنًا ويتقدم مستواهم، يمكنك إزالة ملحق التعليق لتحويل العصا إلى عصا كرة بيسبول مبسطة تقليدية في ثوانٍ؛ ويمكن تعديل ارتفاع العصا التقليدية من 25 بوصة إلى 36 بوصة شاملة يحتوي هذا الطقم على عصا ملائمة لعدة مراحل عمرية ومضرب واحد بلاستيكي طوله 21 بوصة و4 كرات بيسبول مزودة بأغطية ذاتية الالتصاق، وبهذا يكون لديك كل ما تحتاج إليه للعب المقاس أبعادها بعد التركيب 255 بوصة 255 بوصة 455 بوصة، للأعمار من 3 سنوات فما فوق، ارتفاع عصا كرة البيسبول المعلقة من 18 إلى 26 بوصة؛ طول عصا كرة البيسبول المبسطة التقليدية من 25 إلى 36 بوصة,الرياضة والأنشطة الخارجية,الرياضة والأنشطة الخارجية, ,29.0,20000,4.3,https://m.media-amazon.com/images/I/61-axin60NL._AC_SX569_.jpg
